dfsnm	DFS_INFO_STRUCT
dnsp	DNSSRV_RPC_UNION
dnsp	DNSSRV_RRL_STATS
dnsp	DNSSRV_ZONE_RRL_STATS
dnsp	DNS_FLAT_RECORD
dnsp	DNS_RPC_CRITERIA_COMPARATOR
dnsp	DNS_RPC_CRITERIA_ENUM
dnsp	DNS_RPC_ENUM_VIRTUALIZATION_INSTANCE_LIST
dnsp	DNS_RPC_FORWARDERS_DOTNET
dnsp	DNS_RPC_FORWARDERS_W2K
dnsp	DNS_RPC_POLICY_ACTION_TYPE
dnsp	DNS_RPC_POLICY_CONDITION
dnsp	DNS_RPC_POLICY_LEVEL	1519cc9d-b588-48fb-b3af-e16b319b805e
dnsp	DNS_RPC_POLICY_TYPE
dnsp	DNS_RPC_RRL_PARAMS
dnsp	DNS_RPC_TYPEID
dnsp	DNS_RPC_VIRTUALIZATION_INSTANCE
dnsp	DNS_RPC_VIRTUALIZATION_INSTANCE_INFO
dnsp	DNS_RRL_MODE_ENUM
dnsp	DNS_SYSTEMTIME
dnsp	DNS_ZONE_STATS_TYPE
dnsp	ImportOpResult
dnsp	KeySignScope
dnsp	TRUSTANCHOR_STATE
dnsp	TRUSTPOINT_STATE
drsr	DIRERR_DRS_WIRE_V1
drsr	DRS_ERROR_DATA
drsr	DRS_MSG_ADDCLONEDCREPLY
drsr	DRS_MSG_ADDCLONEDCREQ
drsr	DRS_MSG_ADDENTRYREPLY
drsr	DRS_MSG_ADDENTRYREQ
drsr	DRS_MSG_ADDSIDREPLY
drsr	DRS_MSG_ADDSIDREQ
drsr	DRS_MSG_CRACKREPLY
drsr	DRS_MSG_CRACKREQ
drsr	DRS_MSG_DCINFOREPLY
drsr	DRS_MSG_DCINFOREQ
drsr	DRS_MSG_EXISTREPLY
drsr	DRS_MSG_EXISTREQ
drsr	DRS_MSG_FINISH_DEMOTIONREPLY
drsr	DRS_MSG_FINISH_DEMOTIONREQ
drsr	DRS_MSG_GETCHGREPLY
drsr	DRS_MSG_GETCHGREQ
drsr	DRS_MSG_GETMEMBERSHIPS2_REPLY
drsr	DRS_MSG_GETMEMBERSHIPS2_REQ
drsr	DRS_MSG_GETREPLINFO_REPLY
drsr	DRS_MSG_GETREPLINFO_REQ
drsr	DRS_MSG_INIT_DEMOTIONREPLY
drsr	DRS_MSG_INIT_DEMOTIONREQ
drsr	DRS_MSG_KCC_EXECUTE
drsr	DRS_MSG_MOVEREPLY
drsr	DRS_MSG_MOVEREQ
drsr	DRS_MSG_NT4_CHGLOG_REPLY
drsr	DRS_MSG_NT4_CHGLOG_REQ
drsr	DRS_MSG_QUERYSITESREPLY
drsr	DRS_MSG_QUERYSITESREQ
drsr	DRS_MSG_REPADD
drsr	DRS_MSG_REPDEL
drsr	DRS_MSG_REPLICA_DEMOTIONREPLY
drsr	DRS_MSG_REPLICA_DEMOTIONREQ
drsr	DRS_MSG_REPMOD
drsr	DRS_MSG_REPSYNC
drsr	DRS_MSG_REPVERIFYOBJ
drsr	DRS_MSG_REVMEMB_REPLY
drsr	DRS_MSG_REVMEMB_REQ
drsr	DRS_MSG_RMDMNREPLY
drsr	DRS_MSG_RMDMNREQ
drsr	DRS_MSG_RMSVRREPLY
drsr	DRS_MSG_RMSVRREQ
drsr	DRS_MSG_SPNREPLY
drsr	DRS_MSG_SPNREQ
drsr	DRS_MSG_UPDREFS
drsr	DRS_MSG_VERIFYREPLY
drsr	DRS_MSG_VERIFYREQ
drsr	DSA_MSG_EXECUTE_SCRIPT_REPLY
drsr	DSA_MSG_EXECUTE_SCRIPT_REQ
drsr	DSA_MSG_PREPARE_SCRIPT_REPLY
drsr	DSA_MSG_PREPARE_SCRIPT_REQ
fsrvp	FSSAGENT_SHARE_MAPPING
msrp	MSG_INFO
nrpc	NETLOGON_CONTROL_DATA_INFORMATION
nrpc	NETLOGON_CONTROL_QUERY_INFORMATION
nrpc	NETLOGON_DELTA_ID_UNION
nrpc	NETLOGON_DELTA_UNION
nrpc	NETLOGON_DOMAIN_INFORMATION
nrpc	NETLOGON_DUMMY1
nrpc	NETLOGON_LEVEL
nrpc	NETLOGON_VALIDATION
nrpc	NETLOGON_WORKSTATION_INFORMATION
nrpc	NL_IN_CHAIN_SET_CLIENT_ATTRIBUTES
nrpc	NL_OUT_CHAIN_SET_CLIENT_ATTRIBUTES
nspi	PROP_VAL_UNION
nspi	RestrictionUnion_r
oaut	SAFEARRAYUNION
oxnspi	PROP_VAL_UNION
oxnspi	RestrictionUnion_r
par	RPC_V2_UREPLY_PRINTER
rprn	RPC_V2_UREPLY_PRINTER
rrasm	IPX_MIB_INDEX
rrasm	IPX_MIB_ROW
rrasm	MPR_IF_CUSTOMINFOEX_IDL
rrasm	MPR_SERVER_EX_IDL
rrasm	MPR_SERVER_SET_CONFIG_EX_IDL
rrasm	PROJECTION_INFO_IDL_1
rrasm	PROJECTION_INFO_IDL_2
rrasm	RAS_CONNECTION_EX_IDL
rrasm	RAS_UPDATE_CONNECTION_IDL
samr	SAMPR_ALIAS_INFO_BUFFER
samr	SAMPR_DISPLAY_INFO_BUFFER
samr	SAMPR_DOMAIN_INFO_BUFFER
samr	SAMPR_GROUP_INFO_BUFFER
samr	SAMPR_REVISION_INFO
samr	SAMPR_USER_INFO_BUFFER
scmp	VSS_MGMT_OBJECT_UNION
scmp	VSS_OBJECT_UNION
srvs	CONNECT_ENUM_UNION
srvs	FILE_ENUM_UNION
srvs	FILE_INFO
srvs	SERVER_ALIAS_INFO
srvs	SERVER_INFO
srvs	SERVER_XPORT_ENUM_UNION
srvs	SESSION_ENUM_UNION
srvs	SHARE_ENUM_UNION
srvs	SHARE_INFO
srvs	TRANSPORT_INFO
tsgu	TSG_CAPABILITIES_UNION
tsgu	TSG_PACKET_TYPE_UNION
wkst	USE_INFO
wkst	WKSTA_INFO
wmi	WBEM_REFRESH_INFO_UNION
negoex	BYTE_VECTOR	2e9b7476-1e8b-4543-83ac-77b6f41c1e0c
negoex	AUTH_SCHEME_VECTOR	640dca14-6065-40fc-a710-3d9665d6bc1f
negoex	EXTENSION_VECTOR	d622ba20-b8c9-46e9-903a-8e26e4df73a7
negoex	EXTENSION	f0d91d22-fbc6-4ced-870a-be635f72e23b
negoex	CHECKSUM	0655f940-7dc3-4fd1-b249-2d0cb246e5d3
negoex	MESSAGE_TYPE	3a77a20d-9746-4e79-8f06-b241263e3da3
negoex	MESSAGE_HEADER	1f4a4b47-6e44-4427-9028-e384a4ca1fda
negoex	NEGO_MESSAGE	585eae5b-1f4d-457f-bc1c-0c93251061e1
negoex	EXCHANGE_MESSAGE	aeeaeae6-1782-4d72-af14-a320ad51f0fa
negoex	VERIFY_MESSAGE	9de2cde2-bd98-40a4-9efa-0f5a1d6cc88e
negoex	ALERT	8a38aece-3356-450b-8de5-f846572dc34c
negoex	ALERT_PULSE	b8fbffd0-e3b2-4061-8601-874b958de43e
negoex	ALERT_VECTOR	8067eb02-8ecb-438b-9664-eb13cfdf79b3
negoex	ALERT_MESSAGE	bb13c832-61fe-4d4f-a1d8-0ac0a54408cd
oaut	_VARIANT	4e2e9bff-2ac5-4bab-8308-1806b256833e
oaut	_BRECORD	d9237563-093e-4bc9-b824-4c306bfc19e3
oaut	_SAFEARRAY	2e87a537-9305-41c6-a88b-b79809b3703a
dhcpm	DHCP_POLICY_EX	a63aaffd-1c6b-4ad8-9d95-c1064b2112ea
mqmp	CACTransferBufferV1	08791447-2c3c-48d4-98ab-ce9dd28a9509
dcom	ErrorObjectData	08452c9c-c892-433f-8c2a-8c5283e7bd56
dcom	ContextORPCExtension	df24170b-8b79-48aa-85d9-962fb967e3f9
